held_out_attack,known_macro_f1,unknown_auroc,unknown_recall_at_threshold,known_false_alarm_rate_at_threshold,message_bytes_per_flow,seconds
httpflood,0.9978961605034252,0.9668571553064412,0.8685978467744226,0.0500892956803214,24,8.939615082927048
icmpflood,0.9986352452412126,0.9751070876815552,1.0,0.0497858246368897,24,9.44207837502472
slowratedos,0.9975284458961194,0.900441465353517,0.1003090640555768,0.0500714639908992,24,9.256080457940698
synflood,0.9970205097116384,0.9750076689023937,1.0,0.0499846621952129,24,9.927087125135586
synscan,0.998689486816727,0.974860280692952,1.0,0.0502794386140959,24,10.06529829185456
tcpconnectscan,0.9983485035176812,0.9732409431846836,0.9746658687412728,0.0499007671037374,24,9.656086708884686
udpflood,0.9976026144333624,0.4893379276964653,0.013294266847422,0.0495331004328433,24,8.697895582998171
udpscan,0.9977697482904012,0.9742270247810444,0.9959763611215894,0.0509116767964088,24,9.473582207923757
MEAN,0.997936339301321,0.9036349441998814,0.7441054259425355,0.05006952868130107,24,9.432215479086153
MIN_OR_MAX_WORST_CASE,0.9970205097116384,0.4893379276964653,0.013294266847422,0.0509116767964088,24,10.06529829185456
