variant,held_out_attack,method,score,k,top_m,known_macro_f1,unknown_auroc,unknown_recall_at_threshold,known_false_alarm_rate_at_threshold,message_bytes_per_flow,seconds
X-MAG-COS-24B,httpflood,xmag_top1_class_token_anomaly_fusion,linear_max_resid_owner_b025__uncert_anomaly_b05_gamma_0.25,1,1,0.9978961605034252,0.9877654140786896,0.9605220618183128,0.0511467994108983,24,9.996170541970059
X-MAG-COS-30B,httpflood,xmag_top2_class_token_anomaly_fusion,linear_max_resid_owner_b025__uncert_anomaly_b05_gamma_0.25,1,2,0.998020646056858,0.9877595696985848,0.9604008564584708,0.0510258111430406,30,25.763485125033185
X-MAG-COS-24B,icmpflood,xmag_top1_class_token_anomaly_fusion,linear_max_resid_owner_b025__uncert_anomaly_b05_gamma_0.25,1,1,0.9986352452412126,0.9973863899139488,1.0,0.0488280351261584,24,10.494190250057727
X-MAG-COS-30B,icmpflood,xmag_top2_class_token_anomaly_fusion,linear_max_resid_owner_b025__uncert_anomaly_b05_gamma_0.25,1,2,0.9986474388210856,0.9974147747979996,1.0,0.0488862739977844,30,27.452153291087598
X-MAG-COS-24B,slowratedos,xmag_top1_class_token_anomaly_fusion,linear_max_resid_owner_b025__uncert_anomaly_b05_gamma_0.25,1,1,0.9975284458961194,0.8551739092990803,0.4314995661826622,0.0496660428842673,24,10.027206958970055
X-MAG-COS-30B,slowratedos,xmag_top2_class_token_anomaly_fusion,linear_max_resid_owner_b025__uncert_anomaly_b05_gamma_0.25,1,2,0.9978071862710504,0.8551447371092104,0.4314727131225654,0.0497558705489442,30,26.2254678751342
X-MAG-COS-24B,synflood,xmag_top1_class_token_anomaly_fusion,linear_max_resid_owner_b025__uncert_anomaly_b05_gamma_0.25,1,1,0.9970205097116384,0.9966207834877332,1.0,0.0490421358293432,24,10.743702458916232
X-MAG-COS-30B,synflood,xmag_top2_class_token_anomaly_fusion,linear_max_resid_owner_b025__uncert_anomaly_b05_gamma_0.25,1,2,0.9972765324651034,0.996674554568488,1.0,0.0489005858463534,30,27.63338579190895
X-MAG-COS-24B,synscan,xmag_top1_class_token_anomaly_fusion,linear_max_resid_owner_b025__uncert_anomaly_b05_gamma_0.25,1,1,0.998689486816727,0.9953831722954858,0.999350551554604,0.0505546386332084,24,10.790731459157541
X-MAG-COS-30B,synscan,xmag_top2_class_token_anomaly_fusion,linear_max_resid_owner_b025__uncert_anomaly_b05_gamma_0.25,1,2,0.9987292075393432,0.9953912260117792,0.999350551554604,0.0505298726331774,30,27.866044708993286
X-MAG-COS-24B,tcpconnectscan,xmag_top1_class_token_anomaly_fusion,linear_max_resid_owner_b025__uncert_anomaly_b05_gamma_0.25,1,1,0.9983485035176812,0.9933654989433367,1.0,0.0504249142962383,24,10.717481708852574
X-MAG-COS-30B,tcpconnectscan,xmag_top2_class_token_anomaly_fusion,linear_max_resid_owner_b025__uncert_anomaly_b05_gamma_0.25,1,2,0.9984178978463422,0.9936487765518576,1.0,0.0504333062794281,30,27.530194000108168
X-MAG-COS-24B,udpflood,xmag_top1_class_token_anomaly_fusion,linear_max_resid_owner_b025__uncert_anomaly_b05_gamma_0.25,1,1,0.9976026144333624,0.789849533715577,0.4249661192216933,0.0495161405971889,24,9.398915208876133
X-MAG-COS-30B,udpflood,xmag_top2_class_token_anomaly_fusion,linear_max_resid_owner_b025__uncert_anomaly_b05_gamma_0.25,1,2,0.9977996795049933,0.789923531967435,0.4269011029343758,0.0494717407529299,30,22.83316749986261
X-MAG-COS-24B,udpscan,xmag_top1_class_token_anomaly_fusion,linear_max_resid_owner_b025__uncert_anomaly_b05_gamma_0.25,1,1,0.9977697482904012,0.9864284449551224,0.9972970818600233,0.0501676151365206,24,10.577367006102577
X-MAG-COS-30B,udpscan,xmag_top2_class_token_anomaly_fusion,linear_max_resid_owner_b025__uncert_anomaly_b05_gamma_0.25,1,2,0.9977983519096854,0.9864892627870254,0.9973598986797984,0.0500664419426669,30,27.76719858380966
