held_out_attack,dh24_known_macro_f1,cos24_known_macro_f1,cos30_known_macro_f1,dh24_unknown_auroc,cos24_unknown_auroc,cos30_unknown_auroc,dh24_unknown_recall,cos24_unknown_recall,cos30_unknown_recall,dh24_message_bytes,cos24_message_bytes,cos30_message_bytes
httpflood,0.9978961605034252,0.9978961605034252,0.998020646056858,0.9668571553064412,0.9877654140786896,0.9877595696985848,0.8685978467744226,0.9605220618183128,0.9604008564584708,24,24,30
icmpflood,0.9986352452412126,0.9986352452412126,0.9986474388210856,0.9751070876815552,0.9973863899139488,0.9974147747979996,1.0,1.0,1.0,24,24,30
slowratedos,0.9975284458961194,0.9975284458961194,0.9978071862710504,0.900441465353517,0.8551739092990803,0.8551447371092104,0.1003090640555768,0.4314995661826622,0.4314727131225654,24,24,30
synflood,0.9970205097116384,0.9970205097116384,0.9972765324651034,0.9750076689023937,0.9966207834877332,0.996674554568488,1.0,1.0,1.0,24,24,30
synscan,0.998689486816727,0.998689486816727,0.9987292075393432,0.974860280692952,0.9953831722954858,0.9953912260117792,1.0,0.999350551554604,0.999350551554604,24,24,30
tcpconnectscan,0.9983485035176812,0.9983485035176812,0.9984178978463422,0.9732409431846836,0.9933654989433367,0.9936487765518576,0.9746658687412728,1.0,1.0,24,24,30
udpflood,0.9976026144333624,0.9976026144333624,0.9977996795049933,0.4893379276964653,0.789849533715577,0.789923531967435,0.013294266847422,0.4249661192216933,0.4269011029343758,24,24,30
udpscan,0.9977697482904012,0.9977697482904012,0.9977983519096854,0.9742270247810444,0.9864284449551224,0.9864892627870254,0.9959763611215894,0.9972970818600233,0.9973598986797984,24,24,30
MEAN,0.997936339301321,0.997936339301321,0.9980621175518077,0.9036349441998814,0.9502466433361217,0.9503058041865475,0.7441054259425355,0.851704422579662,0.8519356403436018,24,24,30
WORST_CASE,0.9970205097116384,0.9970205097116384,0.9972765324651034,0.4893379276964653,0.789849533715577,0.789923531967435,0.013294266847422,0.4249661192216933,0.4269011029343758,24,24,30
